==============================================================================
A. CORPUS-WIDE: ids declared by MORE THAN ONE script instance
==============================================================================
total distinct ids in corpus: 1409 ; multi-script ids: 614
  0x00001043  6 scripts ['4a565d13', '4c47800e', '6a566151', 'aa5661eb', 'ac3b72f6', 'cc313f17']  sizes [(82, 18)]
  0x00001044  6 scripts ['4a565d13', '4c47800e', '6a566151', 'aa5661eb', 'ac3b72f6', 'cc313f17']  sizes [(82, 18)]
  0x00001045  5 scripts ['4a565d13', '4c47800e', '6a566151', 'aa5661eb', 'ac3b72f6']  sizes [(82, 18)]
  0x00001046  6 scripts ['4a565d13', '4c47800e', '6a566151', 'aa5661eb', 'ac3b72f6', 'cc313f17']  sizes [(82, 18)]
  0x0000104B  8 scripts ['2a5e7490', '4a566c14', '4a566d6e', '4a5e7ed3', '8a5e7bd2', 'aa5e14cc', 'ca566f94', 'ea566a49']  sizes [(72, 18), (82, 18)]
  0x0000104C  8 scripts ['2a5e7490', '4a566c14', '4a566d6e', '4a5e7ed3', '8a5e7bd2', 'aa5e14cc', 'ca566f94', 'ea566a49']  sizes [(72, 18), (82, 18)]
  0x0000104D  5 scripts ['4a5665eb', '4a5e7ed3', 'aa565f5b', 'ca566f94', 'ea566a49']  sizes [(72, 18), (82, 18)]
  0x0000104E  6 scripts ['2a5e7490', '4a566c14', '4a566d6e', '8a5e7bd2', 'aa5e14cc', 'ca566f94']  sizes [(72, 18), (82, 18)]
  0x00001051  3 scripts ['2a567dc1', '4a5672bf', 'ca56783a']  sizes [(82, 18)]
  0x00001053  3 scripts ['2a567dc1', '4a5672bf', 'ca56783a']  sizes [(36, 16)]
  0x00001054  3 scripts ['2a567dc1', '4a5672bf', 'ca56783a']  sizes [(82, 18), (82, 19)]
  0x00001055  3 scripts ['2a567dc1', '4a5672bf', 'ca56783a']  sizes [(82, 18)]
  0x00001056  3 scripts ['2a567dc1', '4a5672bf', 'ca56783a']  sizes [(82, 18)]
  0x00001057  2 scripts ['2a567dc1', '4a5672bf']  sizes [(82, 18)]
  0x00001063  2 scripts ['6a562f56', 'ea5655e4']  sizes [(120, 18)]
  0x00001066  2 scripts ['4a566c14', '8a5e7bd2']  sizes [(72, 18), (82, 18)]
  0x00001067  2 scripts ['2a5e7490', '4a566d6e']  sizes [(72, 18), (82, 18)]
  0x00001068  6 scripts ['2a5e7490', '4a566c14', '4a566d6e', '8a5e7bd2', 'aa5e14cc', 'ca566f94']  sizes [(72, 18), (82, 18)]
