# Art the engine binds as ITEM ICONS (lot / building thumbnails).
# Generated by tools\upscale\find_thumbnails.py - do not hand-edit.
# Derived, not guessed: every PNG the ItemIcons + ItemIconsSub packages
# carry, i.e. what stage_icons.py reads off the exemplars' item-icon
# references and what build_itemicons_sub.py packs from the submenu sets.
# At a fractional factor these keep the plain copy path (nearest): a
# rendered picture wants hard pixels, the user's 2026-09-01 verdict.
# sources: z_SC4UIScale_ItemIcons-15x.dat=356, z_SC4UIScale_ItemIconsSub-15x.dat=130
# groups: 6a386d26=485
# <group> <instance>
6a386d26 8a9ef176
6a386d26 8ab29130
6a386d26 8ac7d5ae
6a386d26 8ac7d625
6a386d26 8b5e1268
6a386d26 8b68c9b5
6a386d26 8ba49621
6a386d26 8bafb5ca
6a386d26 8bafd1ab
6a386d26 8bb6472d
6a386d26 8c05bb9a
6a386d26 8c05bc0d
6a386d26 8c09883d
6a386d26 8c09883e
6a386d26 8c16c8ad
6a386d26 8c17ff4a
6a386d26 8d93aa33
6a386d26 8e558caf
6a386d26 8e5b2f9c
6a386d26 93cfb7d6
6a386d26 93dadfe9
6a386d26 954e20fe
6a386d26 9564e9de
6a386d26 984e5034
6a386d26 9bdefe2b
6a386d26 9f83f133
6a386d26 9faf7a3b
6a386d26 9fe5c428
6a386d26 a08063d0
6a386d26 a11c9db6
6a386d26 a7ff7cf0
6a386d26 a99b3326
6a386d26 aa33e7c3
6a386d26 aa33ee12
6a386d26 aa35b01a
6a386d26 aa35b0a4
6a386d26 aa35b0fa
6a386d26 aa35b647
6a386d26 aa35b781
6a386d26 aa35b884
6a386d26 aa35baab
6a386d26 aa3ed789
6a386d26 aa3ed794
6a386d26 aa404d71
6a386d26 aa650def
6a386d26 aa8b79f1
6a386d26 aa8b7daf
6a386d26 aa8b7e0f
6a386d26 aa8de728
6a386d26 aa9187b8
6a386d26 aa918b29
6a386d26 aa930f0a
6a386d26 aa930f2c
6a386d26 abb15491
6a386d26 abb15492
6a386d26 abb15493
6a386d26 abb15494
6a386d26 abb15495
6a386d26 abb15496
6a386d26 abb15498
6a386d26 abb15499
6a386d26 abb1549a
6a386d26 abb1549b
6a386d26 abb1549c
6a386d26 abc659ef
6a386d26 ac0806a9
6a386d26 ac0806aa
6a386d26 ac09888e
6a386d26 ac09888f
6a386d26 ac1ed3ae
6a386d26 ac44f9a0
6a386d26 ac44f9a1
6a386d26 ac706063
6a386d26 aedd9faa
6a386d26 b1f7ac5b
6a386d26 b7734619
6a386d26 b7b594d6
6a386d26 bb531946
6a386d26 bc251b69
6a386d26 be9fda0c
6a386d26 bf776d40
6a386d26 c220b7d8
6a386d26 ca33eac6
6a386d26 ca35b679
6a386d26 ca35b6db
6a386d26 ca35b713
6a386d26 ca385635
6a386d26 ca3ea7d1
6a386d26 ca419844
6a386d26 ca4c0bf8
6a386d26 ca53ceda
6a386d26 ca836168
6a386d26 ca8b7d4e
6a386d26 ca8b7e08
6a386d26 ca8dc2f6
6a386d26 ca8dc44a
6a386d26 ca8de72f
6a386d26 ca918830
6a386d26 ca91886e
