archive : <PROJECT-ROOT> 1 Project\1 Completed Projects\SC4UIScale\tools\packages\15x\z_SC4UIScale_SelectiveArt-15x.dat  (21339964 bytes)
version : DBPF 1.0   index 7.0
dates   : created 0x6A8455DA  modified 0x6A8455DA
index   : 655 entries @ 0x1456C10 (13100 bytes)
holes   : 0 @ 0x0 (0 bytes)
DIR     : compression directory absent (all uncompressed)

TypeID     GroupID    InstanceID Offset     Size
0x856DDBAC 0x46A006B0 0x0C30D7CC 0x002BECE9 58376
0x856DDBAC 0x46A006B0 0x0C30D7CD 0x002CD0F1 56760
0x856DDBAC 0x46A006B0 0x0C30D7CE 0x002DAEA9 52901
0x856DDBAC 0x46A006B0 0x0C3A2E71 0x002E7D4E 10764
0x856DDBAC 0x46A006B0 0x13D14C10 0x002EA75A 7672
0x856DDBAC 0x46A006B0 0x13D14C20 0x002EC552 4886
0x856DDBAC 0x46A006B0 0x13D14C30 0x002ED868 5655
0x856DDBAC 0x46A006B0 0x13D14C40 0x002EEE7F 7294
0x856DDBAC 0x46A006B0 0x13D14C50 0x002F0AFD 8951
0x856DDBAC 0x46A006B0 0x13D14C60 0x002F2DF4 6228
0x856DDBAC 0x46A006B0 0x13D14C70 0x002F4648 6207
0x856DDBAC 0x46A006B0 0x13D14C80 0x002F5E87 6980
0x856DDBAC 0x46A006B0 0x13D14C90 0x002F79CB 3873
0x856DDBAC 0x46A006B0 0x13D14CA0 0x002F88EC 28371
0x856DDBAC 0x46A006B0 0x13E14F70 0x002FF7BF 907
0x856DDBAC 0x46A006B0 0x13E14F80 0x002FFB4A 12220
0x856DDBAC 0x46A006B0 0x13E14F91 0x00302B06 19702
0x856DDBAC 0x46A006B0 0x13E14FA0 0x003077FC 8951
0x856DDBAC 0x46A006B0 0x13E14FB0 0x00309AF3 11100
0x856DDBAC 0x46A006B0 0x13E14FB1 0x0030C64F 8859
0x856DDBAC 0x46A006B0 0x13E14FB2 0x0030E8EA 8198
0x856DDBAC 0x46A006B0 0x13E14FB3 0x003108F0 15497
0x856DDBAC 0x46A006B0 0x13E14FB5 0x00314579 14752
0x856DDBAC 0x46A006B0 0x13E14FB6 0x00317F19 16945
0x856DDBAC 0x46A006B0 0x13E14FB8 0x0031C14A 158
0x856DDBAC 0x46A006B0 0x13F15211 0x0031C1E8 876
0x856DDBAC 0x46A006B0 0x13F15230 0x0031C554 38051
0x856DDBAC 0x46A006B0 0x13F15240 0x003259F7 8540
0x856DDBAC 0x46A006B0 0x13F15241 0x00327B53 27419
0x856DDBAC 0x46A006B0 0x13F15245 0x0032E66E 8901
0x856DDBAC 0x46A006B0 0x13F15246 0x00330933 2134
0x856DDBAC 0x46A006B0 0x13F15249 0x00331189 11816
0x856DDBAC 0x46A006B0 0x13F1524A 0x00333FB1 7254
0x856DDBAC 0x46A006B0 0x13F1524C 0x00335C07 3095
0x856DDBAC 0x46A006B0 0x13F1524D 0x0033681E 589
0x856DDBAC 0x46A006B0 0x13F15260 0x00336A6B 8811
0x856DDBAC 0x46A006B0 0x13F15261 0x00338CD6 6978
0x856DDBAC 0x46A006B0 0x13F15262 0x0033A818 11170
0x856DDBAC 0x46A006B0 0x13F15263 0x0033D3BA 2777
0x856DDBAC 0x46A006B0 0x13F15264 0x0033DE93 3080
0x856DDBAC 0x46A006B0 0x13F15265 0x0033EA9B 9225
0x856DDBAC 0x46A006B0 0x13F15266 0x00340EA4 25148
0x856DDBAC 0x46A006B0 0x14015541 0x003470E0 11839
0x856DDBAC 0x46A006B0 0x14015542 0x00349F1F 13222
0x856DDBAC 0x46A006B0 0x14015543 0x0034D2C5 14446
0x856DDBAC 0x46A006B0 0x14015544 0x00350B33 12240
0x856DDBAC 0x46A006B0 0x14015545 0x00353B03 57438
0x856DDBAC 0x46A006B0 0x14015546 0x00361B61 27095
0x856DDBAC 0x46A006B0 0x14015547 0x00368538 11133
0x856DDBAC 0x46A006B0 0x14015548 0x0036B0B5 24331
0x856DDBAC 0x46A006B0 0x14015549 0x00370FC0 682
0x856DDBAC 0x46A006B0 0x1401554A 0x0037126A 272
0x856DDBAC 0x46A006B0 0x1401554B 0x0037137A 376
0x856DDBAC 0x46A006B0 0x1401554C 0x003714F2 3122
0x856DDBAC 0x46A006B0 0x14015550 0x00372124 11650
0x856DDBAC 0x46A006B0 0x14015555 0x00374EA6 43835
0x856DDBAC 0x46A006B0 0x14015556 0x0037F9E1 6855
0x856DDBAC 0x46A006B0 0x14015557 0x003814A8 2375
0x856DDBAC 0x46A006B0 0x14015558 0x00381DEF 575
0x856DDBAC 0x46A006B0 0x14015570 0x0038202E 8854
0x856DDBAC 0x46A006B0 0x14015571 0x003842C4 14098
0x856DDBAC 0x46A006B0 0x14015572 0x003879D6 11921
0x856DDBAC 0x46A006B0 0x14015573 0x0038A867 11348
