TypeID,GroupID,InstanceID,classification,occurrences,n_files,scaled_files,unscaled_files,twox_available,action,clone_GroupID,clone_InstanceID
0x856DDBAC,0x46A006B0,0x1401554B,EXCLUSIVE,8,4,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-08000600_I-898897de.ui;T-00000000_G-96a006b0_I-2bc90671.ui;T-00000000_G-96a006b0_I-898897de.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x1401554C,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-2bc90671.ui;T-00000000_G-96a006b0_I-898897de.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015550,EXCLUSIVE,2,2,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-96a006b0_I-2bc90671.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015555,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015556,EXCLUSIVE,6,2,T-00000000_G-96a006b0_I-6bc9065a.ui;T-00000000_G-96a006b0_I-ea2871aa.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015557,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-ea2871aa.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015558,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-6bc9065a.ui;T-00000000_G-96a006b0_I-ea2871aa.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015570,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015571,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015572,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015573,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015574,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015575,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015576,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015577,EXCLUSIVE,3,2,T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015578,EXCLUSIVE,6,4,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015579,EXCLUSIVE,3,2,T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x1401557A,EXCLUSIVE,3,2,T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x1401557C,EXCLUSIVE,8,4,T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-aa3acdfe.ui;T-00000000_G-96a006b0_I-cbc3c2b9.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015581,EXCLUSIVE,2,1,T-00000000_G-96a006b0_I-0a5fa5d6.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015583,EXCLUSIVE,5,5,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-08000600_I-898897de.ui;T-00000000_G-96a006b0_I-0a5fa5d6.ui;T-00000000_G-96a006b0_I-2bc90671.ui;T-00000000_G-96a006b0_I-898897de.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015585,EXCLUSIVE,12,2,T-00000000_G-96a006b0_I-0a5fa5d6.ui;T-00000000_G-96a006b0_I-4bc906b5.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015586,SHARED,15,5,T-00000000_G-08000600_I-898897de.ui;T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui,T-00000000_G-96a006b0_I-4a8cc5ea.ui;T-00000000_G-96a006b0_I-ca539340.ui,yes,clone+retarget,0x46A006B0,0x47425587
0x856DDBAC,0x46A006B0,0x14015590,EXCLUSIVE,11,3,T-00000000_G-96a006b0_I-0b72f276.ui;T-00000000_G-96a006b0_I-2bc9060f.ui;T-00000000_G-96a006b0_I-ea287193.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015591,EXCLUSIVE,8,3,T-00000000_G-96a006b0_I-0b72f276.ui;T-00000000_G-96a006b0_I-2bc9060f.ui;T-00000000_G-96a006b0_I-ea287193.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015592,EXCLUSIVE,10,3,T-00000000_G-96a006b0_I-0b72f276.ui;T-00000000_G-96a006b0_I-2bc9060f.ui;T-00000000_G-96a006b0_I-ea287193.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015593,EXCLUSIVE,3,3,T-00000000_G-96a006b0_I-0b72f276.ui;T-00000000_G-96a006b0_I-2bc9060f.ui;T-00000000_G-96a006b0_I-ea287193.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x140155B0,EXCLUSIVE,11,2,T-00000000_G-96a006b0_I-aa3acdfe.ui;T-00000000_G-96a006b0_I-cbc3c2b9.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x140155B1,EXCLUSIVE,7,2,T-00000000_G-96a006b0_I-aa3acdfe.ui;T-00000000_G-96a006b0_I-cbc3c2b9.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x140155B3,EXCLUSIVE,28,2,T-00000000_G-96a006b0_I-aa3acdfe.ui;T-00000000_G-96a006b0_I-cbc3c2b9.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x140155B5,EXCLUSIVE,26,2,T-00000000_G-96a006b0_I-aa3acdfe.ui;T-00000000_G-96a006b0_I-cbc3c2b9.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x140155B6,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-aa3acdfe.ui;T-00000000_G-96a006b0_I-cbc3c2b9.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x140155C9,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-aa3acdfe.ui;T-00000000_G-96a006b0_I-cbc3c2b9.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x140155CA,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-aa3acdfe.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x140155CB,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-aa3acdfe.ui;T-00000000_G-96a006b0_I-cbc3c2b9.ui,,yes,2x-in-place,,
