archive : C:\dev\SC4UIScale\tools\selective-safe\z_SC4UIScale_SelectiveArt.dat  (11872511 bytes)
version : DBPF 1.0   index 7.0
dates   : created 0x6A85A445  modified 0x6A85A445
index   : 693 entries @ 0xB4F2DB (13860 bytes)
holes   : 0 @ 0x0 (0 bytes)
DIR     : compression directory absent (all uncompressed)

TypeID     GroupID    InstanceID Offset     Size
0x856DDBAC 0x46A006B0 0x140155CA 0x0031EC09 6413
0x856DDBAC 0x46A006B0 0x140155CB 0x00320516 483
0x856DDBAC 0x46A006B0 0x140155CC 0x003206F9 505
0x856DDBAC 0x46A006B0 0x140155D0 0x003208F2 922
0x856DDBAC 0x46A006B0 0x140155D1 0x00320C8C 720
0x856DDBAC 0x46A006B0 0x140155D2 0x00320F5C 757
0x856DDBAC 0x46A006B0 0x140155D3 0x00321251 1181
0x856DDBAC 0x46A006B0 0x140155D4 0x003216EE 718
0x856DDBAC 0x46A006B0 0x140155D5 0x003219BC 755
0x856DDBAC 0x46A006B0 0x140155D6 0x00321CAF 1174
0x856DDBAC 0x46A006B0 0x140155D7 0x00322145 1069
0x856DDBAC 0x46A006B0 0x140155E0 0x00322572 15169
0x856DDBAC 0x46A006B0 0x140155E1 0x003260B3 62044
0x856DDBAC 0x46A006B0 0x140155E2 0x0033530F 8191
0x856DDBAC 0x46A006B0 0x140155E3 0x0033730E 7022
0x856DDBAC 0x46A006B0 0x140155E4 0x00338E7C 6495
0x856DDBAC 0x46A006B0 0x140155E5 0x0033A7DB 7182
0x856DDBAC 0x46A006B0 0x140155E6 0x0033C3E9 9419
0x856DDBAC 0x46A006B0 0x140155E9 0x0033E8B4 1423
0x856DDBAC 0x46A006B0 0x140155EA 0x0033EE43 1307
0x856DDBAC 0x46A006B0 0x140155EB 0x0033F35E 1303
0x856DDBAC 0x46A006B0 0x140155EC 0x0033F875 1643
0x856DDBAC 0x46A006B0 0x140155ED 0x0033FEE0 1187
0x856DDBAC 0x46A006B0 0x140155F0 0x00340383 888
0x856DDBAC 0x46A006B0 0x140155F1 0x003406FB 696
0x856DDBAC 0x46A006B0 0x140155F2 0x003409B3 730
0x856DDBAC 0x46A006B0 0x140155F3 0x00340C8D 1117
0x856DDBAC 0x46A006B0 0x140155F4 0x003410EA 694
0x856DDBAC 0x46A006B0 0x140155F5 0x003413A0 727
0x856DDBAC 0x46A006B0 0x140155F6 0x00341677 1112
0x856DDBAC 0x46A006B0 0x140155F7 0x00341ACF 1028
0x856DDBAC 0x46A006B0 0x14215E20 0x00341ED3 4694
0x856DDBAC 0x46A006B0 0x14215E21 0x00343129 19377
0x856DDBAC 0x46A006B0 0x14215E22 0x00347CDA 20494
0x856DDBAC 0x46A006B0 0x14215E23 0x0034CCE8 21457
0x856DDBAC 0x46A006B0 0x14215E24 0x003520B9 18552
0x856DDBAC 0x46A006B0 0x14215E25 0x00356931 19456
0x856DDBAC 0x46A006B0 0x14215E26 0x0035B531 12260
0x856DDBAC 0x46A006B0 0x14215E27 0x0035E515 6762
0x856DDBAC 0x46A006B0 0x14215E28 0x0035FF7F 6506
0x856DDBAC 0x46A006B0 0x14215E2A 0x003618E9 6943
0x856DDBAC 0x46A006B0 0x14215E2B 0x00363408 9419
0x856DDBAC 0x46A006B0 0x14215E2C 0x003658D3 7209
0x856DDBAC 0x46A006B0 0x14215E30 0x003674FC 11863
0x856DDBAC 0x46A006B0 0x14215E31 0x0036A353 11862
0x856DDBAC 0x46A006B0 0x14215E32 0x0036D1A9 9994
