--- table at 0x00A8E6D0 [.rdata] 19 entries ---
   0x00AEC2A4  0x004C4544  german-swiss
   0x00AEC2AC  0x00534544  irish-english
   0x00AEC2B4  0x00494E45  italian-swiss
   0x00AEC2BC  0x00535449  norwegian
   0x00AEC2C4  0x00524F4E  norwegian-bokmal
   0x00AEC2CC  0x00524F4E  norwegian-nynorsk
   0x00AEC2D4  0x004E4F4E  portuguese-brazilian
   0x00AEC2DC  0x00425450  spanish-argentina
   0x00AEC2E4  0x00535345  spanish-bolivia
   0x00AEC2EC  0x00425345  spanish-chile
   0x00AEC2F4  0x004C5345  spanish-colombia
   0x00AEC2FC  0x004F5345  spanish-costa rica
   0x00AEC304  0x00435345  spanish-dominican republic
   0x00AEC30C  0x00445345  spanish-ecuador
   0x00AEC314  0x00465345  spanish-el salvador
   0x00AEC31C  0x00455345  spanish-guatemala
   0x00AEC324  0x00475345  spanish-honduras
   0x00AEC32C  0x00485345  spanish-mexican
   0x00AEC334  0x004D5345  spanish-modern
   0x00AEC33C  0x004E5345  spanish-nicaragua
   0x00AEC344  0x00495345  spanish-panama
   0x00AEC34C  0x00415345  spanish-paraguay
   0x00AEC354  0x005A5345  spanish-peru
   0x00AEC35C  0x00525345  spanish-puerto rico
   0x00AEC364  0x00555345  spanish-uruguay
   0x00AEC36C  0x00595345  spanish-venezuela
   0x00AEC374  0x00565345  swedish-finland
   0x00AEC37C  0x00465653  swiss
--- table at 0x00B07C60 [.data] 27 entries ---
   0x00B07C60  0x00A806D0  <UNDEFINED> message 
   0x00B07C68  0x00A806A4  _atrg_
   0x00B07C70  0x00A806E8  CN_PRF
   0x00B07C78  0x00A806D0  CN_PDBS
   0x00B07C80  0x00A806E0  advices
   0x00B07C88  0x00A806E8  CN_PRF
   0x00B07C90  0x00A806D0  advisors
   0x00B07C98  0x00A810F8  CN_PDBS
   0x00B07CA0  0x00A806E0  advices
   0x00B07CA8  0x00A806E8  CN_PRF
   0x00B07CB0  0x00A806D0  CN_PDBS
   0x00B07CB8  0x00A806E0  advices
   0x00B07CC0  0x00A806E8  CN_PRF
   0x00B07CC8  0x00A806D0  CN_PDBS
